Trace ID,Span ID,Operation Name,Start Time,End Time,Tags
1a977a94a3cf9ee4ca98f4ee85ccf01c,78a30f500e528c9c,GET,2025-02-16T22:22:28.458223+00:00,2025-02-16T22:22:28.459243+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user/3a21be2a', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 232, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'GET', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
a511b1b6cd5b21444b00b98c68224c46,4289a78e56f577ea,POST,2025-02-16T22:22:28.463890+00:00,2025-02-16T22:22:28.487259+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 0, 'http.request_content_length': 257, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'POST', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
32c5c229791fbc36cc8189ab5b89f59c,034df92e0170b3bd,SELECT oauth2.service,2025-02-16T22:22:28.487368+00:00,2025-02-16T22:22:28.487653+00:00,"{'db.user': 'mysqluser', 'db.connection_string': 'mysql://mysqldb:3306', 'net.peer.name': 'mysqldb', 'db.system': 'mysql', 'thread.id': 34, 'db.statement': 'SELECT * FROM service WHERE service_id = ?', 'db.operation': 'SELECT', 'db.sql.table': 'service', 'db.name': 'oauth2', 'net.peer.port': 3306, 'thread.name': 'hz._hzInstance_1_dev.partition-operation.thread-4', 'span.kind': 'client', 'otel.scope.name': 'io.opentelemetry.jdbc', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
3022742eb95c7c111080e382ef8b2a49,33c053ec5fd56d9c,UPDATE oauth2.service,2025-02-16T22:22:28.489464+00:00,2025-02-16T22:22:28.496135+00:00,"{'db.user': 'mysqluser', 'db.connection_string': 'mysql://mysqldb:3306', 'net.peer.name': 'mysqldb', 'db.system': 'mysql', 'thread.id': 34, 'db.statement': 'UPDATE service SET service_type = ?, service_name=?, service_desc=?, scope=?, owner_id=?, host=? WHERE service_id=?', 'db.operation': 'UPDATE', 'db.sql.table': 'service', 'db.name': 'oauth2', 'net.peer.port': 3306, 'thread.name': 'hz._hzInstance_1_dev.partition-operation.thread-4', 'span.kind': 'client', 'otel.scope.name': 'io.opentelemetry.jdbc', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
b8648b7ee43f23d100b4e5c393403925,5632bd168cd18a85,POST,2025-02-16T22:22:28.490042+00:00,2025-02-16T22:22:28.502954+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 0, 'http.request_content_length': 257, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'POST', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
38c2588054d0ec54891e2ab78ca14fc2,f88cbe746c300356,GET,2025-02-16T22:22:28.514714+00:00,2025-02-16T22:22:28.516798+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user?page=1', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 2331, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'GET', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
03b335cd914f41f57c322dfdf3631d9c,57cac49b55b68b8c,GET,2025-02-16T22:22:28.521237+00:00,2025-02-16T22:22:28.526668+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user?page=1', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 2331, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'GET', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
a36a754801e0afc13b6266088f78c0eb,910ffc36602595db,POST,2025-02-16T22:22:28.537171+00:00,2025-02-16T22:22:28.548361+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 0, 'http.request_content_length': 257, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'POST', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
d5dbb9a8d69853e9c1628859202d47ff,189b118ea50ffb8b,POST,2025-02-16T22:22:28.550987+00:00,2025-02-16T22:22:28.568944+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/password/3a21be2a', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 0, 'http.request_content_length': 169, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'POST', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
0cdc2a8cbbbe89a8917ca2f89ffae329,3e616e557cd1e4e8,GET,2025-02-16T22:22:28.570731+00:00,2025-02-16T22:22:28.574207+00:00,"{'net.host.name': 'localhost', 'user_agent.original': 'python-requests/2.31.0', 'net.sock.host.port': 6885, 'thread.id': 94, 'http.target': '/oauth2/user/3a21be2a', 'net.sock.peer.addr': '172.24.0.1', 'net.sock.peer.port': 45118, 'http.status_code': 200, 'net.host.port': 6885, 'thread.name': 'XNIO-1 I/O-9', 'http.response_content_length': 232, 'net.sock.host.addr': '172.24.0.6', 'net.protocol.name': 'http', 'net.protocol.version': '1.1', 'http.scheme': 'https', 'http.method': 'GET', 'span.kind': 'server', 'otel.scope.name': 'io.opentelemetry.undertow-1.4', 'otel.scope.version': '1.32.1-alpha', 'internal.span.format': 'proto'}"
